-27,-24,-24,-55,-38,-31,-50,-25,-19,-39
-15,-64,-53,-21,-36,-37,-26,-48,-53,-30
-34,-33,-19,-32,-31,-25,-33,-30,-38,-31
-35,-45,-34,-56,-35,-20,-32,-42,-37,-22
-43,-19,-35,-39,-46,-26,-43,-56,-34,-39
-31,-48,-36,-43,-29,-31,-42,-25,-24,-31
-32,-45,-28,-35,-20,-39,-33,-40,-41,-43
-26,-39,-34,-32,-51,-42,-49,-21,-17,-39
-32,-59,-36,-76,-36,-37,-36,-19,-47,-34
-40,-30,-44,-54,-30,-44,-54,-34,-60,-39
-40,-22,-38,-28,-28,-32,-26,-30,-50,-29
-48,-34,-42,-66,-39,-35,-41,-20,-77,-40
-50,-37,-26,-21,-34,-31,-42,-29,-50,-26
-27,-37,-36,-29,-52,-24,-29,-50,-19,-23
-27,-40,-25,-59,-39,-27,-26,-57,-38,-30
-39,-47,-31,-65,-44,-23,-35,-35,-42,-20
-18,-47,-50,-43,-37,-31,-39,-34,-53,-50
-37,-36,-28,-92,-38,-24,-28,-47,-40,-25
-35,-23,-50,-26,-51,-32,-43,-53,-40,-40
-36,-33,-25,-55,-19,-44,-25,-41,-46,-77
-34,-24,-39,-59,-79,-28,-32,-33,-71,-46
-36,-33,-46,-36,-30,-39,-26,-20,-28,-50
-34,-33,-25,-38,-46,-40,-39,-39,-26,-31
-43,-43,-25,-13,-39,-21,-29,-58,-40,-43
-26,-31,-28,-30,-36,-21,-25,-66,-23,-31
-36,-35,-20,-25,-39,-26,-30,-34,-38,-32
-40,-36,-38,-21,-32,-25,-66,-30,-30,-32
-40,-27,-37,-26,-34,-40,-37,-28,-42,-44
-48,-37,-29,-22,-34,-33,-45,-26,-54,-34
-68,-43,-31,-30,-36,-58,-34,-44,-26,-28
-41,-46,-14,-32,-43,-36,-37,-31,-43,-45
-42,-26,-50,-35,-30,-34,-31,-40,-35,-33
-42,-32,-25,-51,-38,-43,-41,-21,-45,-36
-34,-27,-29,-50,-21,-48,-26,-31,-37,-41
-33,-36,-40,-47,-41,-25,-29,-29,-28,-21
-58,-32,-35,-18,-36,-34,-30,-28,-39,-36
-26,-32,-45,-33,-49,-50,-32,-21,-44,-31
-20,-46,-50,-46,-30,-33,-40,-30,-34,-38
-30,-39,-57,-35,-39,-31,-28,-41,-38,-46
-64,-29,-50,-41,-28,-20,-25,-56,-59,-34
-37,-30,-31,-39,-21,-46,-23,-31,-31,-58
-34,-27,-22,-44,-27,-28,-26,-27,-30,-25
-43,-61,-26,-20,-32,-29,-39,-35,-38,-29
-36,-58,-26,-31,-50,-75,-39,-32,-29,-23
-26,-38,-42,-33,-27,-38,-43,-44,-40,-52
-28,-66,-27,-46,-36,-26,-30,-41,-33,-28
-59,-36,-45,-38,-31,-32,-33,-48,-50,-21
-38,-28,-29,-14,-46,-20,-36,-40,-31,-55
-32,-40,-24,-24,-32,-53,-20,-25,-29,-23
-37,-20,-32,-44,-39,-26,-48,-15,-49,-37
-23,-33,-32,-29,-46,-32,-21,-30,-36,-33
-61,-37,-43,-35,-40,-37,-28,-22,-19,-37
-52,-27,-36,-19,-30,-20,-51,-49,-29,-32
-51,-35,-39,-20,-32,-43,-60,-29,-40,-52
-51,-42,-24,-17,-31,-22,-40,-48,-29,-38
-22,-25,-37,-31,-27,-43,-47,-41,-37,-44
-38,-25,-26,-47,-36,-42,-46,-16,-62,-39
-36,-21,-34,-38,-17,-52,-26,-28,-29,-43
-60,-32,-21,-30,-36,-26,-42,-23,-26,-26
